@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureOutOfBagError numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,2,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5017,4983,0,50.17,49.83,0,0,0.499995,0.499997,100,100,9999.91684,9999.91684,0,0.999992,0.999992,0,0,0,0,1,5017,1,4983,0,0,0,0,0.5017,1,0.668176,0,0.5,0.5017,0.5017,0.5017,0.4983,0.4983,0.251703,0.5017,0.335224,0,0.5,0.500006,0.334088,0.5017,0.022,0,0.015625,0,15.625,0,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,3,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5017,4983,0,50.17,49.83,0,0,0.499995,0.499997,100,100,9999.91684,9999.91684,0,0.999992,0.999992,0,0,0,0,1,5017,1,4983,0,0,0,0,0.5017,1,0.668176,0,0.5,0.5017,0.5017,0.5017,0.4983,0.4983,0.251703,0.5017,0.335224,0,0.5,0.500006,0.334088,0.5017,0.015,0.015,0,0.015625,0,15.625,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,3,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5017,4983,0,50.17,49.83,0,0,0.499995,0.499997,100,100,9999.91684,9999.91684,0,0.999992,0.999992,0,0,0,0,1,5017,1,4983,0,0,0,0,0.5017,1,0.668176,0,0.5,0.5017,0.5017,0.5017,0.4983,0.4983,0.251703,0.5017,0.335224,0,0.5,0.500006,0.334088,0.5017,0.024,0.004,0,0,0,0,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,3,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.035,0.005,0.03125,0.015625,31.25,15.625,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,3,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.031,0.018,0.03125,0.015625,31.25,15.625,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,3,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.025,0.005,0.03125,0,31.25,0,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,3,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.03,0.005,0.03125,0,31.25,0,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,3,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.031,0,0.03125,0,31.25,0,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,3,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.025,0.005,0.015625,0.015625,15.625,15.625,888,6211384,691384,100,100,?,?,?,?,?
words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-53,3,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20160811.2243,90000,10000,5016,4984,0,50.16,49.84,0,0,0.499995,0.499997,100,100,9999.926148,9999.926148,0,0.999993,0.999993,0,0,0,0,1,5016,1,4984,0,0,0,0,0.5016,1,0.668087,0,0.5,0.5016,0.5016,0.5016,0.4984,0.4984,0.251603,0.5016,0.335113,0,0.5,0.500005,0.334044,0.5016,0.019,0,0.015625,0,15.625,0,888,6211384,691384,100,100,?,?,?,?,?
